0,382234400200001,1139326,구내교환장비,"₩  961,016,390",,2022/04/29 11:02,2022/05/04 23:59,"조달청 경남지방조달청
김인수(070-4056-6758)","경찰청 경상남도경찰청
",대상,계약 후 120일 이내,,False
0,스마트도시과-3215,1139226,2022년 방범용 CCTV시스템 구축 1차(긴급),"₩  988,366,500","2022/04/29 09:24
(최초공개일시: 2022/04/29 09:22)",2022/05/02 23:59,"서울특별시 강서구
노진주(02-2600-6209)","서울특별시 강서구
",대상,계약 후 90일 이내,"1. 2. 제안요청서_2022년 방범용CCTV시스템 구축 1차_최종.hwp
2. 1. 2022년 방범용CCTV시스템구축 1차_ 설계내역서_최종.xlsx
",False
0,cz009084g0001,1139221,환자진료대기장비 구입,₩  1,2022/04/29 09:18,2022/05/04 23:59,"화순전남대학교병원
서철현(061-379-7414)","화순전남대학교병원
",대상,계약 후 90일 이내,"1. 환자진료대기장비 시방서.hwp
",False
0,002260068900001,1138948,하드디스크어레이,"₩  856,431,500",,2022/04/28 16:17,2022/05/03 23:59,"조달청
강슬기(042-724-6122)","한국과학기술정보연구원
",대상,2022/10/10,"1. 제안요청서-규격가격동시입찰.hwp
",True
0,제실복(LH-자산)제2022-11호,1138926,제천시실버복지관 회원관리 통합솔루션 구축,"₩  31,152,000",2022/04/28 16:01,2022/05/03 23:59,"제천시 실버복지관
김예나(010-3634-4804)","제천시 실버복지관
",대상,계약 후 50일 이내,"1. 제천시실버복지관_과업지시서.hwp
",False
0,252235736800001,1138545,사무용소프트웨어,"₩  188,644,640",,2022/04/28 08:55,2022/05/03 23:59,"조달청 대전지방조달청
한필선(070-4056-8381)","국토교통부
",대상,계약 후 90일 이내,,False
0,222235721300001,1138531,컴퓨터키오스크,"₩  61,781,690",,2022/04/28 08:17,2022/05/03 23:59,"조달청 인천지방조달청
박재은(070-4056-7881)","경기도 안성시
",대상,계약 후 60일 이내,"1. 사전규격공개.zip
",False
0,222235589600001,1138490,구내교환장비,"₩  113,585,590",,2022/04/27 19:37,2022/05/02 23:59,"조달청 인천지방조달청
임동진(070-4056-7866)","경찰청 인천광역시경찰청
",대상,계약 후 90일 이내,,False
0,122281640200001,1138067,정보검색또는서치소프트웨어,"₩  63,317,140",,2022/04/27 17:14,2022/05/02 23:59,"조달청 서울지방조달청
강다운(070-4056-8893)","경찰청
",대상,계약 후 30일 이내,,False
0,정보통신과,1137979,2022년 정보통신시스템 교체 구축 시행(긴급),"₩  482,392,000",2022/04/27 16:22,2022/05/01 23:59,"서울특별시 강서구
노진주(02-2600-6209)","서울특별시 강서구
",대상,계약 후 200일 이내,"1. 붙임5. 제안요청서(강서구 정보통신시스템 교체 구축).hwp
",False
